monument,distance_km,trip_days,travelers,hotel_type,transport_mode,season,total_budget
Kotla Feroz Shah,1235,4,4,Budget,Car,Monsoon,15490
Mehtab Bagh,652,7,2,Luxury,Bus,Winter,54443
Upper Fort Aguada,2103,1,1,Luxury,Train,Winter,15418
"Temples & Sculpture Shed, lakkumdi",1176,8,5,Luxury,Train,Monsoon,53559
"Asokan Rock Edict, Jungadh",237,7,1,Luxury,Car,Winter,52292
"Buddhist Monuments, Sanchi",1551,2,2,Budget,Bus,Winter,7601
Mausoleum,874,1,6,Standard,Train,Winter,8836
"Kolaba Fort, Alibag",1017,8,4,Luxury,Train,Summer,61396
"Ranghar Pavillion, Jaisagar",2379,6,1,Budget,Car,Summer,24227
Buddhist Caves Kanheri,1447,2,6,Standard,Train,Winter,17552
Hoshang Shah's Tomb,871,6,1,Budget,Train,Winter,12403
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",2236,9,4,Budget,Train,Winter,37800
Bishnupur Temples,1248,7,3,Budget,Bus,Summer,18556
Qutub Minar,2059,9,1,Standard,Car,Summer,38665
"Janjira Fort, Murd",205,9,6,Luxury,Train,Monsoon,61239
"Champaner Monuments, Pavagadh",880,1,7,Luxury,Car,Monsoon,11158
Group of Monuments (WH) Pattadakal,1011,2,4,Luxury,Bus,Monsoon,13484
Ancient Remains on both Udaigiri & Khandagiri Hills,793,4,1,Standard,Train,Winter,16932
"Avantiswamin Temple, Avantipur, District Pulwama",2066,2,2,Luxury,Bus,Winter,20700
Red Fort,259,9,6,Standard,Car,Monsoon,37280
Undavalli caves,353,9,4,Luxury,Bus,Winter,77646
"Rani Ki-Vav, Patan",1683,2,3,Budget,Train,Winter,12903
Baori at Abhaneri,613,4,2,Luxury,Train,Summer,28003
Kumbhalgarh Fort,822,2,1,Standard,Train,Winter,9016
Metcelf-Hall,1421,2,4,Luxury,Car,Monsoon,20821
Kotla Feroz Shah,1368,8,7,Luxury,Car,Monsoon,63027
Chittaurgarh Fort,1412,5,7,Budget,Train,Winter,29131
Suraj Kund,2041,1,4,Budget,Train,Winter,11377
Chittaurgarh Fort,334,9,3,Standard,Bus,Winter,39398
Ancient Site of Vikramshila Antichak,75,2,7,Budget,Bus,Winter,10727
"Cave Temple & Inscriptions, Bhaja",1118,3,2,Budget,Car,Monsoon,9904
"Fort St. Angelo, Kannur",1193,6,6,Luxury,Car,Monsoon,47325
Elephanta Caves,170,1,5,Budget,Bus,Monsoon,2124
Gwalior Fort,734,4,1,Luxury,Bus,Summer,24997
"Badal Mahal Gatwway, Chanderi",782,4,4,Standard,Bus,Winter,20985
Humayun Tomb,2150,2,3,Budget,Bus,Summer,9328
Pandulena Caves,2476,6,2,Budget,Bus,Monsoon,12879
Group of Monuments (WH) Pattadakal,1309,5,5,Budget,Bus,Summer,17922
Akbar Tomb Sikandra,152,7,1,Luxury,Train,Summer,43054
Buddhist Caves,1769,9,2,Standard,Bus,Monsoon,26174
"Fort on Rock, Dindigual",2443,7,3,Standard,Car,Summer,41515
Akbar Tomb Sikandra,1836,5,7,Standard,Car,Monsoon,32731
"Rani Ki-Vav, Patan",1401,2,6,Luxury,Car,Monsoon,21809
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1560,8,1,Standard,Car,Monsoon,26243
Charminar,329,6,2,Luxury,Train,Monsoon,32765
"Fort Museum, Thirumayam",2266,7,4,Budget,Car,Monsoon,28098
"Champaner Monuments, Pavagadh",505,6,5,Standard,Bus,Summer,27237
Tomb of Rabia Durani (Bibi ka Maqbara),1017,7,7,Budget,Car,Monsoon,29155
Fort Vattakottai,528,9,4,Standard,Bus,Winter,44287
Undavalli caves,400,6,5,Luxury,Bus,Monsoon,39520
"Badal Mahal Gatwway, Chanderi",971,1,6,Luxury,Train,Monsoon,10336
"Rani Ki-Vav, Patan",1957,8,3,Standard,Train,Winter,40430
Excavated Remains at sarnath,149,2,1,Standard,Bus,Summer,6398
Group of Monuments (WH) Pattadakal,1877,9,3,Standard,Car,Monsoon,35675
Fatehpur Sikri,1869,4,1,Standard,Train,Summer,16167
Mariam tomb Sikandra,1261,8,3,Standard,Bus,Summer,32086
Raigad Fort,1779,1,5,Standard,Car,Summer,16541
"Buddhist Remains on hill top at Guntupalli, W.G.District",2246,3,1,Luxury,Bus,Winter,26934
Buddhist Caves,2284,4,5,Standard,Car,Monsoon,27104
Upper Fort Aguada,859,9,2,Standard,Train,Monsoon,24733
Golconda,773,8,4,Budget,Bus,Monsoon,18298
Tomb of Rabia Durani (Bibi ka Maqbara),1348,9,3,Budget,Bus,Winter,27364
Rock-cut Temples and Sculptures,1640,1,7,Standard,Train,Winter,13309
Mehtab Bagh,59,4,6,Standard,Train,Summer,19022
"Ibrahim Rauza, Bijapur",2077,4,1,Luxury,Car,Winter,45231
Sultanghari Tomb,2336,8,1,Budget,Bus,Monsoon,13347
"Gol Gumbaz, Vijayapura",665,8,2,Standard,Bus,Winter,32052
Daulatabad Fort,2495,9,4,Luxury,Bus,Winter,84179
"The palace situated in the fort, Burhanpur",1001,5,6,Standard,Car,Summer,30432
Aurangabad Caves,1904,5,7,Budget,Car,Summer,32540
Ajanta Caves,2057,3,1,Luxury,Train,Summer,24305
Ancient Site of Vikramshila Antichak,2345,6,2,Budget,Bus,Winter,18636
"Kolaba Fort, Alibag",1660,3,6,Luxury,Bus,Winter,34094
Pandulena Caves,2242,2,4,Luxury,Train,Monsoon,18092
Kalinjar Fort,1929,9,7,Luxury,Train,Summer,84467
"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",276,5,1,Budget,Train,Monsoon,7201
Aurangabad Caves,968,5,1,Luxury,Train,Summer,34090
"Rani Ki-Vav, Patan",1395,7,5,Standard,Train,Monsoon,28559
Elephanta Caves,936,4,5,Standard,Train,Monsoon,16908
Palace of Tipu Sultan,474,5,3,Luxury,Bus,Monsoon,29029
Amaravati mahastupa,57,6,5,Standard,Car,Winter,32150
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1153,8,3,Budget,Bus,Monsoon,17583
"Bekal Fort, Pallikkare, Distt. Kasargod",386,1,7,Luxury,Car,Summer,12202
"Ibrahim Rauza, Bijapur",835,2,5,Budget,Bus,Winter,9129
Gwalior Fort,488,3,2,Standard,Bus,Winter,11823
Kalinjar Fort,459,2,2,Luxury,Car,Winter,19093
Warangal,2270,2,6,Luxury,Bus,Winter,25315
Jantar Mantar,584,2,6,Standard,Bus,Monsoon,10037
Group of Monuments (WH) Pattadakal,1567,2,7,Standard,Train,Monsoon,13687
"Asokan Rock Edict, Jungadh",2257,4,5,Standard,Train,Winter,30261
"Palace Complex at Ramnagar, Distt. Udhampur",1277,8,7,Luxury,Train,Summer,72224
Rajarani Temple,2060,2,7,Luxury,Bus,Winter,25534
Taj Mahal,1095,2,4,Luxury,Car,Monsoon,17346
Bishnudol,1571,7,1,Luxury,Car,Winter,61901
Metcelf-Hall,1250,9,6,Luxury,Train,Monsoon,64139
Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,1957,1,6,Luxury,Train,Summer,14665
Mariam tomb Sikandra,1318,7,5,Standard,Train,Monsoon,28421
Keshava Temple,2224,2,5,Budget,Bus,Winter,13638
Ancient Site of Vikramshila Antichak,218,9,2,Budget,Bus,Winter,20611
Caves 1 t0 20 Udaygiri Vidisha,702,6,6,Luxury,Car,Monsoon,44701
Palace of Tipu Sultan,141,4,1,Luxury,Car,Summer,24266
"Group of Monuments, Hampi",1118,8,6,Budget,Train,Winter,37193
"Asokan Rock Edict, Jungadh",1962,2,3,Luxury,Bus,Winter,22142
Gawilgarh Fort,518,1,5,Luxury,Bus,Winter,11436
Chittaurgarh Fort,500,9,1,Standard,Train,Monsoon,20628
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1629,4,1,Budget,Train,Summer,11349
Aurangabad Caves,1818,9,4,Standard,Car,Summer,47239
"Janjira Fort, Murd",1038,7,6,Luxury,Train,Winter,70905
Raigad Fort,1809,8,1,Budget,Bus,Winter,18126
Excavated Remains at Nalanda,1534,2,3,Luxury,Bus,Monsoon,13999
Mariam tomb Sikandra,697,2,6,Budget,Car,Monsoon,8981
Bir Singh Palace Datia,432,2,2,Luxury,Train,Winter,17310
Palace of Tipu Sultan,2032,2,4,Standard,Car,Winter,25282
Ancient Palace Leh,2416,1,7,Luxury,Car,Summer,25634
Ajanta Caves,904,6,4,Standard,Car,Summer,29316
Akbar Tomb Sikandra,484,7,5,Luxury,Bus,Winter,65854
"Group of Monuments, Hampi",1121,2,3,Standard,Bus,Monsoon,8808
Site of Sahet mahet,1801,9,4,Luxury,Train,Winter,85622
Baori at Abhaneri,368,1,5,Budget,Car,Winter,7474
Qutub Minar,1992,5,7,Standard,Bus,Monsoon,26422
Excavated Remains at sarnath,1307,8,2,Standard,Car,Summer,34556
Qutub Minar,407,2,7,Luxury,Bus,Summer,19227
"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",113,5,3,Standard,Bus,Monsoon,15763
"Buddhish Caves, Junagadh",2267,2,4,Luxury,Train,Monsoon,17347
"Kolaba Fort, Alibag",1888,6,2,Standard,Bus,Summer,22947
Lohgad Fort,2349,7,1,Budget,Train,Monsoon,14761
"Caves, Temples and inscriptions Karla",351,7,6,Budget,Car,Summer,28233
"Kolaba Fort, Alibag",840,9,2,Standard,Bus,Winter,35277
Pandulena Caves,1640,9,6,Budget,Train,Monsoon,30783
"Ibrahim Rauza, Bijapur",865,7,4,Standard,Car,Winter,38966
Keshava Temple,1547,1,2,Luxury,Bus,Winter,11022
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",901,3,1,Budget,Bus,Monsoon,5454
Fortress and Temple Chitrudurga Fort,878,8,1,Standard,Train,Summer,24482
Metcelf-Hall,681,7,2,Budget,Train,Monsoon,12433
Rani Lakshmi Bai Mahal,1034,4,1,Standard,Train,Monsoon,11527
mattancherry Palace Museum Kochi,1161,9,6,Standard,Car,Winter,60470
"The palace situated in the fort, Burhanpur",2053,6,3,Budget,Bus,Monsoon,14775
"Ranghar Pavillion, Jaisagar",514,9,5,Budget,Car,Summer,30635
Metcelf-Hall,1775,9,4,Budget,Train,Monsoon,23977
Palace of Tipu Sultan,936,1,2,Standard,Train,Summer,6197
"Palace Complex at Ramnagar, Distt. Udhampur",93,8,6,Luxury,Train,Summer,65870
Dariya Daulath Bagh,1402,5,4,Luxury,Train,Winter,48455
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",159,3,1,Budget,Bus,Summer,4265
"Champaner Monuments, Pavagadh",1567,1,3,Standard,Car,Summer,15121
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,1684,5,7,Standard,Train,Summer,33162
Sher Shah's Tomb,1041,1,5,Standard,Bus,Summer,6531
Tughluqabad,2157,2,7,Luxury,Train,Monsoon,19158
"Palace Complex at Ramnagar, Distt. Udhampur",1892,8,5,Standard,Car,Summer,47782
Lohgad Fort,646,6,1,Budget,Car,Summer,12274
"Ruined Fort, kangra",987,4,7,Standard,Train,Summer,24008
Palace of Tipu Sultan,1290,8,5,Luxury,Train,Winter,77291
"Gupta Temple & Varah Temple, Deogarh",1474,1,4,Luxury,Train,Summer,11578
Agra Fort,1093,7,2,Standard,Bus,Winter,27983
Hoshang Shah's Tomb,1826,9,6,Standard,Bus,Winter,55916
Pandulena Caves,1325,7,6,Budget,Bus,Monsoon,22155
"The palace situated in the fort, Burhanpur",1871,3,5,Standard,Train,Winter,23885
Fort Vattakottai,2034,3,3,Standard,Car,Winter,28410
Temple of Laxman and Old sites including sculptures sirpur,2159,6,5,Budget,Car,Summer,32378
"Jaina & Vaishnava Cave, Badami",706,7,1,Standard,Train,Winter,24619
"Old Fort (Shahi Fort), Jaunpur",546,3,6,Luxury,Bus,Monsoon,21938
Aga  Khan Palace Building,1160,8,5,Standard,Car,Winter,51653
Excavated Remains at sarnath,270,1,3,Standard,Car,Summer,6310
Temple of Laxman and Old sites including sculptures sirpur,1701,5,3,Luxury,Car,Summer,45825
Fort Vattakottai,2253,3,6,Standard,Train,Monsoon,18463
Agra Fort,634,3,1,Standard,Car,Monsoon,9392
"Badal Mahal Gatwway, Chanderi",1710,9,5,Luxury,Train,Winter,89124
Temple of Laxman and Old sites including sculptures sirpur,710,6,2,Luxury,Bus,Monsoon,33715
Kalinjar Fort,456,7,6,Standard,Bus,Summer,36183
"Fort, Palakkad, Palakkad",1638,8,3,Luxury,Car,Winter,78633
Buddhist Caves,1022,9,4,Luxury,Train,Monsoon,55999
"Champaner Monuments, Pavagadh",1291,3,3,Luxury,Car,Monsoon,24415
"Buddhist Monuments, Sanchi",779,8,4,Budget,Bus,Monsoon,18832
"Palace Complex at Ramnagar, Distt. Udhampur",1209,7,5,Luxury,Car,Summer,61725
Lord Cornwallis Tomb,1070,8,7,Budget,Bus,Winter,41325
Humayun Tomb,1195,5,4,Luxury,Bus,Summer,39286
Warangal,791,6,3,Standard,Train,Summer,24387
Gwalior Fort,1603,6,1,Budget,Bus,Winter,13510
Site of Sahet mahet,261,4,2,Standard,Bus,Winter,16391
Ellora Caves,971,3,6,Luxury,Car,Summer,31956
Site of Sahet mahet,1543,4,6,Budget,Car,Winter,28607
Akbar Tomb Sikandra,158,6,6,Budget,Car,Summer,22727
Pandulena Caves,676,4,5,Standard,Bus,Monsoon,15081
Itimad-ud-Daulah-Tomb,2419,4,2,Luxury,Bus,Monsoon,25037
"Rani Ki-Vav, Patan",1573,2,6,Budget,Bus,Summer,11518
"Rudabai Step Well, Adalaj",1462,2,5,Luxury,Bus,Winter,22621
Agra Fort,1869,5,2,Luxury,Train,Winter,45735
Tomb of Lal Khan,1723,1,1,Luxury,Car,Monsoon,15340
Undavalli caves,549,7,6,Standard,Bus,Winter,41744
"Caves, Temples and inscriptions Karla",978,9,4,Budget,Car,Monsoon,25837
Charminar,674,3,1,Luxury,Car,Summer,21866
Fortress and Temple Chitrudurga Fort,2191,3,5,Budget,Train,Summer,16766
The Hill Containing Many Valuable Sculptures and Images Ratnagiri,2190,5,2,Luxury,Train,Monsoon,32681
Observatory of Man Singh,1688,2,2,Standard,Car,Monsoon,13689
Temple of Laxman and Old sites including sculptures sirpur,910,7,1,Luxury,Car,Winter,56942
Cooch Bihar Palace,2012,2,5,Standard,Train,Monsoon,12011
Lohgad Fort,2495,4,4,Budget,Car,Monsoon,22730
"Old Fort (Shahi Fort), Jaunpur",2222,9,5,Standard,Bus,Winter,51986
"Fort Museum, Thirumayam",296,6,3,Luxury,Bus,Monsoon,33384
Elephanta Caves,2448,7,5,Budget,Bus,Winter,32605
"Western Group of Temples, Khajuraho",1666,1,2,Budget,Car,Winter,15386
"Palace Complex at Ramnagar, Distt. Udhampur",480,3,5,Budget,Bus,Winter,12209
Chittaurgarh Fort,2304,5,7,Budget,Bus,Summer,25418
"Fort, Palakkad, Palakkad",521,5,5,Luxury,Train,Winter,48200
"Buddhish Caves, Junagadh",471,5,3,Luxury,Bus,Winter,42392
"Badal Mahal Gatwway, Chanderi",1361,9,2,Budget,Car,Summer,25105
"The palace situated in the fort, Burhanpur",2354,5,6,Budget,Train,Summer,25346
Rock-cut Temples and Sculptures,1601,2,7,Budget,Bus,Winter,14180
"Old Fort (Shahi Fort), Jaunpur",1216,5,7,Budget,Car,Summer,27433
"Sun temple, Modhera",670,2,1,Luxury,Bus,Summer,14665
"Asokan Rock Edict, Jungadh",2306,2,7,Budget,Bus,Summer,13787
Ahom Raja's Palace,1305,5,5,Budget,Bus,Summer,19127
Ram Bagh,2006,1,4,Standard,Train,Winter,12062
Fort Vattakottai,2000,1,3,Luxury,Bus,Monsoon,8990
"Group of Monuments, Hampi",1053,1,5,Standard,Train,Monsoon,6553
Hauzkhas,2454,1,2,Standard,Train,Monsoon,9379
Bishnudol,1815,5,2,Budget,Bus,Winter,15828
"Fort, Palakkad, Palakkad",1452,6,5,Budget,Train,Monsoon,19161
"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1295,4,7,Budget,Bus,Winter,21730
Itimad-ud-Daulah-Tomb,2144,7,3,Standard,Bus,Monsoon,24705
Charminar,1771,7,7,Budget,Train,Monsoon,26976
"Rani Ki-Vav, Patan",987,1,3,Luxury,Train,Monsoon,8690
Caves 1 t0 20 Udaygiri Vidisha,2265,2,7,Luxury,Car,Winter,38039
"Buddhist Remains on hill top at Guntupalli, W.G.District",1749,3,2,Standard,Train,Monsoon,12366
Gwalior Fort,1873,1,5,Luxury,Train,Summer,14905
"Jaina & Vaishnava Cave, Badami",550,2,7,Standard,Train,Monsoon,10707
Humayun Tomb,690,1,4,Budget,Car,Summer,8521
Kumbhalgarh Fort,1976,8,2,Luxury,Bus,Summer,56375
Fatehpur Sikri,456,4,1,Luxury,Bus,Summer,24818
Sheikh Chilli's Tomb,1663,8,6,Luxury,Bus,Monsoon,57201
Itimad-ud-Daulah-Tomb,1486,1,6,Luxury,Bus,Summer,11107
Khan-I-Khana,1077,8,2,Budget,Car,Monsoon,16760
Golconda,801,5,3,Budget,Car,Monsoon,12845
Gawilgarh Fort,1621,9,6,Budget,Train,Monsoon,29839
Keshava Temple,391,1,5,Luxury,Car,Monsoon,8538
Ram Bagh,769,4,3,Luxury,Car,Summer,32238
Khan-I-Khana,1407,8,3,Standard,Train,Monsoon,28069
Tirumalai Nayak's Palace Srivilliputhur,1238,7,2,Budget,Bus,Winter,17322
Dariya Daulath Bagh,1844,9,7,Standard,Bus,Winter,61341
"Gingee Fort , Gingee",2446,3,6,Standard,Car,Monsoon,25232
Shaniwarwada,2255,5,4,Luxury,Car,Winter,60313
Site of Sahet mahet,981,6,7,Budget,Car,Summer,30578
"Temples & Sculpture Shed, lakkumdi",1584,3,4,Standard,Bus,Winter,18454
Caves 1 t0 20 Udaygiri Vidisha,1654,8,3,Standard,Bus,Monsoon,26579
Fort Vattakottai,2475,3,4,Standard,Train,Monsoon,16198
Tomb of Rabia Durani (Bibi ka Maqbara),863,9,2,Standard,Car,Monsoon,28348
"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",1313,7,5,Luxury,Train,Winter,68808
Durga temple complex Aihole,396,8,6,Luxury,Train,Summer,67151
Kotla Feroz Shah,72,9,4,Luxury,Car,Winter,78938
Fatehpur Sikri,2241,6,1,Budget,Train,Summer,14837
"Fort Museum, Thirumayam",2069,5,3,Budget,Car,Summer,25740
Kalinjar Fort,968,6,7,Luxury,Bus,Winter,63338
"Asokan Rock Edict, Jungadh",810,1,6,Standard,Bus,Summer,7355
Ancient Buddhist Site known as Chaukhandi stupa,410,2,6,Luxury,Bus,Winter,21267
Site of Sahet mahet,2118,9,1,Luxury,Bus,Monsoon,48349
Golconda,810,4,4,Budget,Car,Winter,19634
"Buddhist Remains on hill top at Guntupalli, W.G.District",2103,6,6,Standard,Car,Winter,50729
Fortress and Temple Chitrudurga Fort,557,9,4,Luxury,Train,Winter,79353
Ancient Remains on both Udaigiri & Khandagiri Hills,563,2,6,Budget,Bus,Winter,11098
Rock-cut Temples and Sculptures,344,7,4,Budget,Car,Monsoon,18054
Hoshang Shah's Tomb,2032,1,2,Luxury,Train,Monsoon,10184
Deeg Bhawan,1024,6,1,Luxury,Car,Summer,41894
"Western Group of Temples, Khajuraho",2245,9,5,Luxury,Bus,Monsoon,60169
Keshava Temple,548,8,1,Standard,Train,Winter,27285
"Gingee Fort , Gingee",311,2,4,Luxury,Car,Summer,17786
Gawilgarh Fort,1085,7,7,Budget,Bus,Monsoon,24161
Mariam tomb Sikandra,2036,6,7,Luxury,Car,Summer,65528
Suraj Kund,191,4,7,Standard,Bus,Winter,26298
Rock-cut Temples and Sculptures,966,8,6,Budget,Bus,Winter,35907
Observatory of Man Singh,815,3,5,Budget,Bus,Monsoon,9042
"Badal Mahal Gatwway, Chanderi",137,3,5,Luxury,Train,Summer,23323
Sher Shah's Tomb,1622,4,1,Budget,Bus,Summer,8658
Buddhist Caves Kanheri,992,9,3,Standard,Train,Summer,34967
Bishnudol,1193,3,6,Luxury,Car,Winter,39377
Raigad Fort,1525,1,2,Standard,Bus,Summer,6788
"Group of Temples at kiramchi, District Udhampur",1272,1,4,Budget,Bus,Winter,6226
Temple of Laxman and Old sites including sculptures sirpur,1601,7,3,Standard,Train,Summer,29308
Tirumalai Nayak's Palace Srivilliputhur,1616,7,6,Budget,Bus,Summer,29258
"Badal Mahal Gatwway, Chanderi",1154,8,7,Budget,Car,Summer,40200
Pandulena Caves,2424,5,5,Budget,Train,Monsoon,19427
Agra Fort,2444,5,4,Standard,Car,Monsoon,29507
Raigad Fort,1136,4,1,Budget,Car,Monsoon,10000
Palace of Tipu Sultan,1176,9,3,Luxury,Car,Summer,69495
Jantar Mantar,1918,2,1,Standard,Car,Monsoon,15849
Observatory of Man Singh,1915,9,3,Luxury,Train,Monsoon,55877
Humayun Tomb,1748,5,3,Budget,Bus,Monsoon,13401
"Old Fort, Sholapur",869,1,6,Luxury,Bus,Summer,9772
Jantar Mantar,399,7,2,Budget,Bus,Monsoon,11999
Tomb of Rabia Durani (Bibi ka Maqbara),393,5,4,Luxury,Bus,Summer,36518
Group of Monuments Mamallapuram,987,7,6,Standard,Car,Winter,47719
"Rani Ki-Vav, Patan",1681,1,4,Standard,Train,Monsoon,8436
Itimad-ud-Daulah-Tomb,269,7,4,Luxury,Bus,Winter,60373
Ellora Caves,216,4,6,Standard,Bus,Winter,22978
Fort Vattakottai,1039,4,2,Budget,Bus,Monsoon,7755
"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",603,7,6,Standard,Bus,Winter,41968
Tughluqabad,1948,2,7,Standard,Train,Monsoon,13375
Chandragiri Monument,68,6,3,Luxury,Bus,Winter,48373
Sheikh Chilli's Tomb,343,6,1,Luxury,Bus,Monsoon,30195
Group of Monuments Mamallapuram,1688,4,4,Luxury,Train,Monsoon,27592
Purana Qila,1787,1,3,Budget,Train,Winter,9298
Bir Singh Palace Datia,663,2,1,Luxury,Car,Monsoon,12985
"Group of monument, Royal Palace Mandu",1359,5,7,Luxury,Bus,Summer,46202
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",1293,2,2,Luxury,Train,Summer,16558
Buddhist Caves,1518,7,2,Luxury,Train,Summer,49485
"Kareghar of Ahom Kings, Sibasagar",621,6,6,Budget,Bus,Winter,27420
Fort Vattakottai,706,5,7,Luxury,Bus,Winter,52231
Undavalli caves,727,1,2,Luxury,Car,Summer,11920
Agra Fort,2212,9,5,Budget,Bus,Summer,32743
Kondiote Caves,2195,8,6,Standard,Car,Winter,63991
Khan-I-Khana,1315,3,1,Luxury,Car,Monsoon,22940
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",134,7,2,Luxury,Car,Winter,54244
"Caves, Temples and inscriptions Karla",1665,3,2,Budget,Car,Monsoon,14516
Kumbhalgarh Fort,2154,8,4,Budget,Car,Monsoon,29390
Group of Monuments (WH) Pattadakal,2234,7,7,Standard,Car,Monsoon,42176
Temple of Laxman and Old sites including sculptures sirpur,1236,6,5,Budget,Train,Winter,27791
"Moovarkoil, Kodumbalur",680,4,6,Luxury,Car,Summer,36995
Golconda,131,4,6,Luxury,Train,Monsoon,26763
Sheikh Chilli's Tomb,1369,4,4,Standard,Car,Summer,24390
"Rani Ki-Vav, Patan",357,5,3,Luxury,Train,Winter,41842
"Old Fort, Sholapur",1455,9,5,Standard,Train,Summer,45482
"Fort on Rock, Dindigual",1404,1,3,Budget,Bus,Monsoon,5458
"Fort St. Angelo, Kannur",661,5,7,Standard,Car,Monsoon,24566
Amaravati mahastupa,1827,8,3,Luxury,Car,Winter,78404
Ancient Site of Vikramshila Antichak,2019,9,4,Luxury,Bus,Winter,81996
Suraj Kund,1318,1,7,Budget,Car,Winter,15510
Fort Vattakottai,679,3,1,Luxury,Car,Winter,26636
Qutub Minar,2085,8,6,Standard,Bus,Winter,50780
"Buddhist Remains on hill top at Guntupalli, W.G.District",2238,8,5,Budget,Car,Winter,47713
Lord Cornwallis Tomb,434,5,5,Luxury,Bus,Winter,46809
Caves 1 t0 20 Udaygiri Vidisha,879,3,1,Budget,Car,Winter,11032
Fatehpur Sikri,665,6,7,Budget,Train,Monsoon,20705
Buddhist Caves,554,6,4,Luxury,Car,Winter,56759
Warangal,1619,5,4,Luxury,Car,Summer,47281
Bellary Fort,2222,6,4,Standard,Bus,Summer,28627
"Temples & Sculpture Shed, lakkumdi",388,7,2,Budget,Car,Monsoon,11640
"Buddhist Remains on hill top at Guntupalli, W.G.District",571,1,5,Standard,Bus,Winter,6154
"Group of four MaidansCharaideo, Sibasagar",443,2,3,Budget,Train,Summer,6547
Deeg Bhawan,2379,4,7,Budget,Car,Monsoon,25293
"Champaner Monuments, Pavagadh",805,6,5,Budget,Car,Winter,28520
"Ancient site of Vaishali, Kolhua",2100,6,7,Luxury,Bus,Winter,67207
Site of Sahet mahet,972,8,6,Budget,Car,Winter,41130
Akbar Tomb Sikandra,857,7,1,Standard,Train,Monsoon,17152
Excavated Remains at sarnath,1508,4,4,Luxury,Bus,Winter,38192
"Old Fort (Shahi Fort), Jaunpur",2046,1,3,Budget,Bus,Summer,6954
"Cave, Temple and Inscriptions, Junaar, Lenyadri",2238,6,5,Standard,Car,Summer,42064
Bishnupur Temples,847,2,1,Luxury,Car,Monsoon,13620
"Avantiswamin Temple, Avantipur, District Pulwama",1257,1,3,Budget,Car,Summer,10412
Aga  Khan Palace Building,1136,5,4,Standard,Car,Summer,27985
"Avantiswamin Temple, Avantipur, District Pulwama",1925,3,4,Budget,Train,Monsoon,12217
"Remains of Patliputra Site of Mauryan Palace, Kumrahar",723,3,2,Budget,Train,Winter,9447
Buddhist Caves,1512,4,7,Budget,Car,Winter,30885
Chandragiri Monument,88,5,7,Luxury,Bus,Winter,51001
Gwalior Fort,181,2,7,Standard,Car,Monsoon,10732
Fortress and Temple Chitrudurga Fort,1537,7,7,Budget,Bus,Summer,31057
Hoshang Shah's Tomb,389,2,5,Standard,Train,Summer,11385
Purana Qila,2287,9,6,Standard,Train,Summer,51765
Gwalior Fort,2026,2,1,Standard,Bus,Winter,11850
Site of Sahet mahet,624,7,6,Luxury,Bus,Summer,58347
Mariam tomb Sikandra,2132,2,3,Luxury,Bus,Summer,18941
Khan-I-Khana,504,1,3,Standard,Train,Monsoon,3530
"Badal Mahal Gatwway, Chanderi",732,2,7,Luxury,Bus,Winter,22680
Keshava Temple,337,5,2,Standard,Bus,Winter,18807
Buddhist Caves Kanheri,240,4,1,Standard,Car,Winter,15689
"Buddhist Monuments, Sanchi",1901,6,6,Luxury,Car,Monsoon,50453
Warangal,1605,7,7,Budget,Train,Summer,32988
Aurangabad Caves,2451,5,4,Budget,Car,Summer,29921
Rock-cut Temples and Sculptures,758,1,1,Budget,Car,Monsoon,6369
Dariya Daulath Bagh,2126,7,1,Budget,Bus,Summer,15102
Buddhist Caves Kanheri,627,2,2,Budget,Bus,Summer,5070
Deeg Bhawan,205,5,6,Luxury,Train,Winter,50006
Temple of Laxman and Old sites including sculptures sirpur,94,8,7,Budget,Train,Winter,38389
"Buddhist Remains on hill top at Guntupalli, W.G.District",1734,4,2,Luxury,Bus,Summer,29555
Palace of Tipu Sultan,1939,6,7,Luxury,Bus,Winter,65971
"Rock-cut Jain Temple, Sittannavasasl",102,6,7,Standard,Bus,Summer,32482
"Buddhist Monuments, Sanchi",789,3,5,Luxury,Train,Summer,26445
"Group of four MaidansCharaideo, Sibasagar",1539,5,2,Luxury,Train,Summer,37857
"Buddhist Remains on hill top at Guntupalli, W.G.District",1518,1,7,Standard,Train,Monsoon,7826
Residency Building,1857,6,6,Budget,Bus,Winter,30059
Gawilgarh Fort,1092,2,3,Standard,Bus,Summer,10655
